Coral Springs, Florida,2
Bayonne, New Jersey,2
Oklahoma City, Oklahoma,2
Cypress, Taxas,2
Loves Park, Illinois,2
Bradenton, Florida,2
St. Cloud, Minnesota,2
Eagan, Minnesota,2
Harrison, New Jersey,2
Murietta, California,3
Napa, California,3
Pleasanton, California,3
Branford, Connecticut,3
Clinton, Connecticut,3
Athens, Georgia,3
Sharpsburg, Georgia,3
Meridian, Idaho,3
University City, Missouri,3
Ridgeland, Mississippi,3
Mooresville, North Carolina,3
Cherry Hill, New Jersey,3
Patterson, New York,3
Cranston, Rhode Island,3
Bluffton, South Carolina,3
Dallas, Taxas,3
El Paso, Taxas,3
McKinney, Taxas,3
Sherman, Taxas,3
Bonney Lake, Washington,4
Minneapolis, Minnesota,4
Eastvale, California,4
Ukiah, California,4
Mt. Pleasant, South Carolina,4
Woodstock, Georgia,4
Owings Mills, Maryland,4
Elk Grove, California,4
Webster, Taxas,4
Davenport, Iowa,4
Fairbanks, Alaska,2